has_profile_pic,has_header_pic,bio_length,account_age_days,follower_count,following_count,tweet_count,retweet_ratio,likes_count,lists_count,is_verified,is_default_profile,has_url,avg_tweets_per_day,Label
1,1,45,2040,6263,9414,4081,0.31717617779573115,993,6,0,1,1,4.041812726637026,0
1,1,72,2337,379,740,1893,0.14243681997918084,4607,7,1,0,1,13.05851552368291,0
1,0,79,2662,5289,2296,3566,0.40718670312392213,1771,11,0,0,1,9.839925948342692,0
1,1,60,1998,1639,794,7907,0.18515770186399738,4913,16,0,0,0,12.040254199434855,0
1,1,0,215,5,3697,24,0.716131693498595,13,1,0,0,0,0.612094332457543,1
1,0,153,1096,939,899,6607,0.17748682031051916,885,8,0,0,0,18.833506777220208,0
1,1,46,567,345,424,8052,0.4750818461517471,1036,14,0,0,0,6.394395659680746,0
1,0,117,2648,9357,10216,9218,0.23772321332798374,2331,0,0,0,0,16.411137893596532,0
1,1,126,3163,6034,4720,3355,0.4349320615732164,2153,5,0,0,0,2.597447139523465,0
0,1,35,159,70,2859,48,0.8701936658886711,9,1,0,1,0,1.6119850995503162,1
1,1,63,520,3174,2149,924,0.47962775745816855,3080,19,0,0,1,9.09667469769906,0
1,0,38,19,17,1268,13,0.9142177599369484,17,1,0,1,0,0.994023897642498,1
1,1,136,1943,7119,979,2262,0.32267282107270145,1698,2,0,0,0,15.3290598223833,0
1,1,55,2739,8265,13357,7279,0.2802493700432676,4579,15,0,0,1,11.543076619622537,0
1,1,150,776,5687,1965,5589,0.3623109207136721,2988,9,0,1,1,3.862601046217999,0
1,0,31,3134,6705,5531,9489,0.3469164304210471,2560,4,0,0,1,14.025543936766136,0
0,1,8,58,59,1241,39,0.8327636544444237,10,0,0,1,0,1.0001602365431652,1
1,1,62,3283,7983,10856,6311,0.16110017266704665,385,13,0,1,0,6.0994691370337595,0
1,1,149,2151,5768,5815,9749,0.3426878319128928,1964,13,0,0,1,19.735073360416333,0
1,1,15,77,59,2381,13,0.8934235745730456,3,1,0,1,0,1.323334519258378,1
1,1,129,1678,884,502,2205,0.3001162074712719,1188,17,0,0,0,2.28281224280333,0
1,1,46,325,60,637,49,0.7495882332910523,10,0,0,1,0,1.3953412550401503,1
1,1,20,193,57,628,16,0.846710732592286,19,1,0,1,0,0.7293413524686732,1
1,1,65,3138,2603,2362,3329,0.1591409751449535,1158,10,0,0,0,19.316107729285605,0
1,0,0,213,61,4644,30,0.8399823354091647,5,1,0,1,1,0.8077957283402475,1
0,0,5,13,81,3288,12,0.8247392502062351,1,1,0,1,1,1.4609927219175805,1
1,0,40,92,96,2204,12,0.9511039985091017,9,1,0,1,1,0.3172102105861474,1
1,1,75,3021,2707,1221,389,0.4425070614096326,2879,1,0,0,1,1.9812255958158786,0
1,0,21,1081,5151,4140,1811,0.20361568404820587,58,6,0,0,0,4.039405251619163,0
1,1,22,1577,8417,405,5597,0.40593915728799346,2253,7,0,0,1,0.7020925857699531,0
1,0,38,122,3,3664,22,0.8501431947600154,9,1,0,0,0,0.5487692104051749,1
1,0,0,108,97,1130,20,0.7287143666560485,15,0,0,1,0,1.09339482542814,1
1,1,139,3532,3923,873,4560,0.13085774963442443,4557,1,0,0,1,9.505226390459363,0
0,1,4,97,70,985,20,0.7762777482966792,19,1,0,1,0,0.6847902465917193,1
0,1,7,89,71,1770,0,0.7944755333766687,10,0,0,1,0,1.063743533010033,1
0,0,49,255,54,3024,48,0.7855871015071949,11,0,0,0,1,1.146698691270436,1
1,0,140,2229,1195,396,2509,0.20820871206873864,1511,4,0,0,0,9.054098087659453,0
1,1,62,1929,471,264,5044,0.10644985854888596,1997,10,0,0,1,8.59759803267,0
1,1,142,1115,8074,2396,874,0.29868953043927127,3232,19,0,0,0,14.747419964626111,0
0,1,0,31,39,4824,35,0.9991766604305183,5,1,0,1,1,0.010600012795210834,1
1,0,0,227,10,1316,20,0.9884476973722336,7,0,0,1,0,1.3067669969573612,1
1,1,22,330,97,1324,25,0.711019581227984,2,1,0,1,0,1.9382052602816227,1
1,1,0,276,52,4356,41,0.9813895694301682,18,1,0,1,0,0.42158620310005723,1
1,1,34,401,6437,12565,8930,0.4286586388658,4217,14,0,0,0,2.1505308406389014,0
0,1,0,166,66,3793,0,0.8586173257295306,13,0,0,1,1,0.12628058585478263,1
1,0,43,63,96,4664,42,0.7742679310839659,7,0,0,1,1,1.2134634494348728,1
1,1,74,3631,6423,2571,9443,0.2732320814408525,2616,1,0,0,0,0.8954594884646894,0
1,1,33,2830,7898,15769,3275,0.10146252453785971,3249,17,0,0,0,1.2367978786157536,0
1,0,35,118,6,1569,45,0.8633786346132248,0,0,0,0,0,0.7749329276435133,1
1,1,82,2488,7915,2463,7640,0.4391886773250362,1768,18,0,0,1,10.787492566457708,0
1,1,30,3448,2424,134,4642,0.21470675102315348,3341,12,0,0,0,15.765548050739822,0
1,1,150,3223,55,102,625,0.12121030841192432,1739,18,0,0,1,5.45724766680042,0
0,0,16,139,95,4605,21,0.77959784126664,3,1,0,0,1,1.518010565043862,1
1,1,62,3299,5037,122,1309,0.34217779412213695,854,5,0,0,1,12.008330086170009,0
1,1,0,114,31,4514,21,0.8075940343888491,9,1,0,1,1,0.27324266288405763,1
1,0,10,23,9,3349,30,0.7045913620871154,18,1,0,1,0,1.3679275387962821,1
0,1,57,1107,3138,5972,3753,0.1036662200735266,1126,13,1,0,0,1.8063263407190284,0
0,0,11,108,43,1863,29,0.9649840776756604,6,1,0,0,0,0.8542155772525126,1
1,0,22,192,80,4302,17,0.8330367509145712,14,0,0,1,1,0.9529667675565854,1
1,1,22,2322,6012,1840,6155,0.10865079698471752,329,16,0,0,1,3.6635931887412614,0
1,1,0,265,91,2425,28,0.7476036621069054,15,0,0,1,0,1.5486053658891903,1
0,1,44,61,80,2555,48,0.8791834246766291,19,0,0,1,1,0.47223306623480865,1
1,1,67,1474,8262,13560,3871,0.46926959544770597,4963,12,0,0,1,4.4920293520249786,0
0,0,0,155,1,2128,37,0.9487053197636472,7,1,0,0,0,0.5900814153083125,1
1,1,125,2963,126,157,3446,0.12138348504192727,3198,12,0,0,1,6.545663468242776,0
1,1,29,3335,7092,111,7924,0.2827755399592996,811,17,0,0,1,16.212960886185577,0
1,1,85,630,4687,6576,3248,0.16984436679290477,2144,13,1,1,1,18.7182609335456,0
1,1,68,1691,6424,10149,5296,0.49059601361769967,1230,5,0,0,1,6.1857654768186485,0
1,0,0,111,59,3230,11,0.7306637992675599,15,1,0,1,0,1.3027344219764923,1
1,0,116,3380,5588,8534,2900,0.12180371096548784,2652,1,0,0,1,11.6477381278199,0
1,0,37,75,31,3701,46,0.9041497906224139,10,0,0,1,1,0.06260462749503248,1
1,0,23,128,6,2082,37,0.8160089349962386,1,0,0,1,1,0.2250062610532635,1
1,1,68,589,9427,4777,8072,0.21407463840401914,4314,13,0,0,0,6.101206285509395,0
1,1,153,2687,5825,8478,1048,0.2991905210349573,4409,13,0,0,0,5.418351117497067,0
0,0,36,48,65,4307,7,0.9632051359398516,11,0,0,1,1,0.1331294558284457,1
0,1,0,295,87,4666,12,0.8175578119564078,16,0,0,0,0,0.838543322332044,1
1,1,89,2941,1042,991,4284,0.2010344026738897,2447,19,0,1,1,13.408411869287367,0
1,1,32,70,30,2310,43,0.8675212749207415,9,1,0,1,0,0.5073643477462775,1
1,1,156,1064,7854,1746,540,0.3899724790078477,1579,8,0,0,1,3.923805663875018,0
1,0,11,155,54,1598,20,0.8894930545248675,8,0,0,1,0,0.5505764269037203,1
1,1,133,2780,5058,7271,3049,0.12161905093989063,3516,16,0,0,1,14.771528434723042,0
1,1,23,198,5,3126,6,0.9191647410427904,9,1,0,0,1,0.9908472528079313,1
1,0,30,46,31,675,37,0.730567930261881,17,0,0,1,0,1.4967686993524627,1
1,0,49,97,26,1450,32,0.7100597304207338,1,1,0,1,1,0.20583206148829003,1
1,0,13,211,59,726,47,0.8220414402855171,6,1,0,1,0,1.8065960287514211,1
1,1,127,3548,9727,17514,1320,0.3216397121583304,3856,14,0,0,1,13.189125494509106,0
0,1,51,2212,306,251,8126,0.13251164193635512,1358,1,0,0,1,9.746123403103443,0
1,0,71,1875,4620,3644,4577,0.2364377266349607,2618,13,0,0,1,14.233051952797183,0
1,1,25,979,6251,661,4817,0.4011268104355239,2111,4,0,0,1,12.304200744912494,0
0,1,7,139,42,2004,31,0.866936861747637,7,0,0,1,0,0.6360991451018374,1
0,1,32,39,3,1801,10,0.9374229251520927,11,1,0,1,0,0.39039432914376504,1
1,1,0,289,58,3279,31,0.9537002047296315,9,0,0,0,1,0.7559880772523062,1
1,0,149,3333,3816,4976,8517,0.38416872600496477,4948,5,0,0,1,7.495737359414839,0
1,0,37,273,98,4335,17,0.887021787447832,18,0,0,1,0,1.705115563803107,1
1,1,52,3129,8669,3865,8950,0.3005789679366691,2108,5,0,0,0,2.4214767097709435,0
0,1,18,183,28,651,9,0.8603677657468926,17,1,0,0,1,0.6556763977000681,1
1,1,27,884,7089,14027,8004,0.22534776257214317,4608,3,0,0,1,6.417337720767321,0
1,0,0,318,79,715,18,0.9196674659228683,16,0,0,1,0,1.9611536003599763,1
1,0,4,305,68,4527,43,0.822555487880775,10,0,0,0,0,1.8528988471794223,1
1,1,120,1394,8881,4502,3527,0.35164544796484765,3647,12,0,0,1,3.196372789717268,0
1,0,136,781,865,1154,6802,0.3924884439492985,2681,6,0,0,1,16.76570388020991,0
0,0,40,332,41,1477,10,0.8260012222244215,18,1,0,1,1,1.8935120703474064,1
1,1,28,2371,8221,8025,3207,0.28809398384371254,3380,1,0,0,1,14.962385784788202,0
0,1,0,324,14,4566,36,0.8380007186742396,14,1,0,1,0,1.4534984483363933,1
1,1,80,2970,9484,15800,8039,0.20740003047899816,4618,10,0,0,1,10.041793575764867,0
1,1,33,2398,4334,1854,2564,0.23586424819257712,4532,8,0,0,0,10.960002470060592,0
1,1,111,2196,4706,1669,7346,0.42351977780046035,3282,14,0,0,0,7.17263491229382,0
1,1,57,1549,7452,5681,2067,0.2015523384496128,290,7,0,0,1,8.94495285031902,0
0,1,18,86,89,813,11,0.9237201348193697,13,0,0,1,0,0.6538632326761582,1
1,0,154,3166,9487,1426,6001,0.38478119522622023,3418,13,0,0,0,11.357568495276848,0
1,0,50,1731,6616,1500,4171,0.3267433733176379,2836,1,0,0,0,11.069298320354658,0
1,0,90,1792,3251,5781,3778,0.30332467771067784,386,3,0,0,1,9.28635860991429,0
1,1,45,3061,2646,1082,9334,0.47086993509439556,2588,11,0,1,1,13.391799583237729,0
1,1,59,1497,4172,4269,6821,0.15113989479738682,4994,5,0,0,1,7.190752570131684,0
1,0,14,201,25,2024,8,0.7225413345207425,16,0,0,1,0,0.8696546772074925,1
1,1,23,82,42,2426,40,0.8004367125672037,13,1,0,1,0,0.2970135632873616,1
1,0,18,248,2,2491,43,0.8616105393858142,19,0,0,0,0,1.644206321200451,1
1,1,32,2896,6906,6910,5416,0.4751012062045935,848,2,0,0,1,16.705270778589,0
1,1,52,1918,7576,1196,9220,0.47381609824874404,2023,16,0,1,1,10.791360274060727,0
1,0,5,331,94,3166,31,0.702509104563057,10,1,0,1,0,0.010626951336691892,1
1,0,132,2880,9128,6956,2532,0.22827971401652913,966,8,0,0,1,8.337024805141349,0
